Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Валенко;Єлисавета;Петрівна;female;1953-02-13;Флорист;село Ніжин;узвіз Бокаріуса, буд. 78, Збараж, 05825;981 67 82;erika72@example.com
Гаврилюк;Богуслав;Миколайович;male;1975-04-09;Доцент;селище Перечин;узвіз Михайла Слабченка, буд. 884, Конотоп, 08282;008 847-67-45;gtsymbaliuk@example.org
Ільченко;Альберт;Михайлович;male;2001-02-23;Провізор;село Тернопіль;площа Рибальська балка, буд. 46, Золоте, 08626;019 599-17-61;xkhmara@example.net
Цимбалюк;Андрій;Андрійович;male;2005-06-26;Диригент;село Армянськ;узвіз Путівна, буд. 351, Березне, 22824;275-77-71;qtelizhenko@example.net
Цісик;Соломія;Василівна;female;2007-05-21;Провізор;хутір Нова Одеса;сквер Люстдорфський, буд. 44, Кропивницький, 72348;+380 45 713-30-50;kovalenkoboleslav@example.org
Конопленко;Володимир;Вікторович;male;2006-10-30;Правник;село Володимир-Волинський;парк Локомотивний 1-й, буд. 41, Бобровиця, 67150;+380 14 050-44-43;iatsenkooksana@example.com
Вернигора;Оксенія;Григорівна;female;1979-01-13;Редактор;село Суми;узвіз Пішонівська, буд. 694 кв. 31, Радехів, 79622;066 38 56;zharkoparmen@example.com
Царенко;Емілія;Анатоліївна;female;1958-01-25;Сценарист;селище Чигирин;узвіз Туристська, буд. 789 кв. 0, Бахмач, 96332;698 44 68;lytvynenkovitalii@example.net
Вовк;Сергій;Богданович;male;1997-12-10;Парфюмер;село Армянськ;сквер Дорожня, буд. 03, Кам'янка (Черкаська область), 60864;+380 57 084 22 70;demiandemianchuk@example.net
Сиротенко;Омелян;Дмитрович;male;1949-10-26;Хімік;хутір Рожище;парк Абрикосова, буд. 168, Вознесенськ, 65879;701-68-55;okhrim58@example.net
Верхола;Єлисавета;Вікторівна;female;1983-08-01;Патологоанатом;хутір Тульчин;проспект Василя Кричевського, буд. 69 кв. 397, Радивилів, 68109;+380 08 410-36-37;ftsiutsiura@example.com
Христич;Данна;Богданівна;female;1955-08-09;Фізик;місто Почаїв;набережна Варненська, буд. 616 кв. 9, Броди, 07582;603-92-26;simashkevychostap@example.org
Іваненко;Соломон;Олександрович;male;1995-10-22;Секретар;село Золочів;узвіз Регенсбург, буд. 52 кв. 9, Берестечко, 39872;306 72 57;huziidemian@example.org
Чуйко;Єлисей;Богданович;male;1989-09-17;Юрист;село Новодністровськ;площа Чорноморка, буд. 5 кв. 5, Копичинці, 34658;+380 (53) 349-67-23;orkhypperepelytsia@example.org
Архипенко;Теодор;Іванович;male;1945-05-30;Адвокат;хутір Верхівцеве;сквер Слобідська, буд. 90, Могилів-Подільський, 01893;+380 95 547-00-25;fdatsenko@example.net
Дерегус;Амвросій;Олександрович;male;1943-12-02;Випробувач;місто Сіверськ;сквер Савранський, буд. 30, Мукачево, 04013;073 200 55 84;kamilla02@example.net
Масоха;Ігор;Васильович;male;1950-10-16;Дипломат;місто Скалат;провулок Литовська, буд. 702, Ніжин, 74993;+380 02 178-23-18;olhakabanenko@example.org
Саченко;Левко;Сергійович;male;1949-11-02;Історик;місто Переяслав;узвіз Абрикосовий, буд. 68 кв. 49, Рені, 02215;069 81 01;utereshchenko@example.org
Алексійчук;Вікторія;Олександрівна;female;1946-05-22;Флорист;хутір Голубівка;площа Проектований 4-й, буд. 58, Буча, 22645;+380 26 704-41-28;bazavluchenkoparmen@example.net
Ковалюк;Ірина;Олександрівна;female;2001-07-12;Маркетолог;хутір Шумськ;шосе Петра Біциллі, буд. 22 кв. 4, Костопіль, 04304;+380 (14) 284-94-67;sliusarmyron@example.org
Саєнко;Соломон;Петрович;male;1951-03-23;Круп'є;місто Камінь-Каширський;сквер Платанова, буд. 113, Вугледар, 60409;+380 (68) 460-38-35;ctytarenko@example.org
Коваленко;Віктор;Петрович;male;2004-07-20;Пекар;село Ровеньки;площа Львівський, буд. 60 кв. 873, Корець, 52279;056 840-28-33;shvedchenkorostyslav@example.com
Юрчишин;Ілля;Миколайович;male;1938-10-13;Ювелір;село Корюківка;узвіз Велика Арнаутська, буд. 56, Острог, 91002;032 074 28 51;avrelii88@example.com
Саченко;Сніжана;Анатоліївна;female;1977-06-26;Доцент;село Моршин;набережна Миколи Боровського, буд. 9, Вишгород, 99858;+380 87 597-77-32;baranykvasylyna@example.org
Верховинець;Гордій;Вікторович;male;1984-02-02;Журналіст;місто Бахмач;площа Героїв прикордонників, буд. 4 кв. 31, Златопіль, 16936;022 947-59-65;oleksausyk@example.com
Юхименко;Аліна;Володимирівна;female;1984-09-05;Різноробочий;місто Одеса;вулиця Почаївська, буд. 930 кв. 73, Яворів, 28671;+380 82 732 40 26;bandurapetro@example.org
Оробець;Костянтин;Миколайович;male;1994-09-16;Кінолог;хутір Петрово-Красносілля;шосе Азовський, буд. 3 кв. 3, Дунаївці, 41693;+380 (15) 918-25-48;alinaokhrymovych@example.org
Свистун;Арсен;Юрійович;male;1959-07-09;Дипломат;місто Миколаївка;проспект Вчительської, 2-й, буд. 4 кв. 03, Новий Буг, 60539;+380 (87) 085-06-45;oleh79@example.org
Яремко;Аніта;Андріївна;female;1998-04-10;Єгер;місто Деражня;парк Сотника Лугіна, буд. 282, Південне, 55995;+380 92 743-72-22;zubkoorest@example.com
Андрієнко;Омелян;Максимович;male;1941-10-17;Мистецтвознавець;село Бахмут;проспект 3-тя Лінія Марії Демченко, буд. 3 кв. 77, Торецьк, 04660;+380 (08) 982-89-81;anton47@example.com
Гузь;Ігнат;Олегович;male;1953-06-09;Живописець;селище Сміла;площа Приморський, буд. 86 кв. 4, Кривий Ріг, 16758;+380 (16) 381-66-53;khrystenkosemen@example.com
Мамчур;Аркадій;Романович;male;1981-11-12;Астроном;хутір Верхньодніпровськ;вулиця Юрія Коваленка, буд. 810 кв. 5, Сорокине, 91521;+380 73 234-95-68;ievtushokvarvara@example.com
Алексійчук;Єфрем;Сергійович;male;1999-07-16;Філолог;місто Болград;вулиця Вапняне селище, буд. 418, Енергодар, 41229;170-59-43;bnesterenko@example.org
Цимбал;Олена;Григорівна;female;1950-03-23;Клоун;село Харків;площа Лазурний 4-й, буд. 1, Іршава, 62957;+380 95 582-08-27;iaroslavdrobakha@example.net
Удовенко;Віктор;Анатолійович;male;1976-04-16;Економіст;місто Шостка;шосе Миколи Боровського, буд. 93 кв. 310, Білицьке, 14777;+380 41 058-23-57;ihnat84@example.com
Килимник;Аркадій;Михайлович;male;1959-09-06;Археолог;селище Шостка;шосе Зелений, буд. 593, Новгород-Сіверський, 91118;000 297-74-08;kopytkozlatoslava@example.com
Ґереґа;Демид;Михайлович;male;1972-05-27;Складальник;село Гребінка;узвіз Київське, буд. 038 кв. 39, Новоград-Волинський, 27736;+380 (77) 287-45-04;andriiovychklyment@example.net
Рябошапка;Валерій;Сергійович;male;1945-09-06;Державний службовець;село Новодністровськ;площа Дачна, буд. 770 кв. 212, Сарни, 41420;+380 (65) 711-41-02;ieromenkoomelian@example.net
Товстуха;Амалія;Сергіївна;female;1952-10-02;Сценарист;місто Косів;площа Єфімова, буд. 8, Жашків, 87123;312-90-18;dandemydenko@example.net
Артим;Назар;Дмитрович;male;1976-05-19;Медик;хутір Кривий Ріг;провулок 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6, Апостолове, 42413;150-60-42;kolisnychenkostepan@example.net
Бабій;Єфрем;Богданович;male;1951-04-19;Електрослюсар;місто Знам'янка;вулиця Сливовий, буд. 87, Світловодськ, 34896;421-22-16;zubkoavrelii@example.com
Зінчук;Мілена;Євгенівна;female;1996-01-27;Живописець;село Рудки;площа Балтський 6-й, буд. 41 кв. 498, Христинівка, 89213;+380 11 929 84 21;chabanievhen@example.com
Тихий;Яків;Степанович;male;1975-04-18;Машиніст;хутір Бахмут;провулок Чорноморський 10-й, буд. 56 кв. 5, Буча, 55412;094 461 72 19;rubetsielysei@example.org
Даньків;Наталія;Олегівна;female;1972-07-13;Будник;селище Білозерське;вулиця Залізничний 3-й, буд. 701, Кролевець, 92355;+380 04 109-25-81;fedirperepelytsia@example.net
Ковпак;Святослава;Богданівна;female;2006-11-01;Стоматолог;місто Інкерман;провулок Фонтанська дорога, буд. 6 кв. 25, Гола Пристань, 96881;169-12-26;mykolai54@example.com
Туркало;Людмила;Андріївна;female;1977-05-22;Петрограф;місто Кам'янське;провулок Львівський, буд. 553, Вижниця, 64359;087 923 30 51;korbutmyron@example.org
Колодуб;Демид;Юрійович;male;1938-04-10;Бібліотекар;місто Ніжин;набережна Героїв оборони Одеси, буд. 050 кв. 85, Горішні Плавні, 90339;090 312-36-78;vernydubustym@example.com
Ляшко;Георгій;Максимович;male;1995-02-28;Льотчик;хутір Кагарлик;сквер Цегляна, буд. 4 кв. 4, Христинівка, 81999;+380 (75) 311-28-77;szatovkaniuk@example.net
Шаблій;Лілія;Миколаївна;female;2007-12-29;Клоун;селище Краматорськ;провулок Каменярів, буд. 484, Молочанськ, 39076;087 872 69 33;rkhomenko@example.org
Атаманчук;Вʼячеслав;Вікторович;male;1946-06-09;Стиліст;хутір Кам'янка-Дніпровська;парк Долинська, буд. 52 кв. 433, Перевальськ, 38632;+380 98 149-19-27;hlibieresko@example.org
Пустовіт;Гаврило;Сергійович;male;1983-02-08;Підприємець;село Марганець;набережна Польський узвіз, буд. 379 кв. 8, Глухів, 83646;+380 (21) 115-85-87;gfastenko@example.com
Ейбоженко;Спас;Володимирович;male;1966-06-28;Євнух;селище Синельникове;узвіз Стороженка Олега, буд. 4 кв. 14, Хоростків, 33625;890 66 21;bohuslava13@example.com
Жученко;Стефан;Андрійович;male;1955-01-29;Електрик;хутір Кам'янка-Дніпровська;сквер Підйомний, буд. 63 кв. 72, Жовті Води, 46228;+380 39 320 22 51;irena40@example.net
Салій;Альберт;Юрійович;male;1948-12-08;Дизайнер;селище Ківерці;парк Альтовий, буд. 7, Новомиргород, 84344;007 617-10-16;avramenkomaryna@example.org
Симоненко;Тереза;Степанівна;female;2001-02-02;Кушнір;селище Луцьк;сквер Шовкуненка, буд. 1, Кривий Ріг, 17696;088 458 51 87;edyta93@example.com
Дубина;Лесь;Романович;male;1978-06-18;Футболіст;хутір Сокиряни;набережна Шевальових, буд. 07 кв. 0, Довжанськ, 88602;088 414 26 28;tvenhrynovych@example.com
Затовканюк;Світлана;Андріївна;female;1989-07-25;Секретар;селище Трускавець;площа Джевецького, буд. 939, Копичинці, 91055;016 466-22-87;cgalagan@example.com
Фурс;Дарина;Дмитрівна;female;1977-05-30;Мікробіолог;хутір Новий Розділ;парк Пейзажна, буд. 383 кв. 0, Гайсин, 40658;+380 (70) 542-70-06;demydmykhailychenko@example.org
Андріїшин;Павло;Григорович;male;1954-09-14;Сценарист;місто Пологи;сквер Пресича Олександра, буд. 496 кв. 10, Переяслав, 78451;430 71 98;ievastus@example.org
Шухевич;Єлисей;Дмитрович;male;2008-07-27;Парфюмер;селище Берегове;шосе Донецька, буд. 1 кв. 40, Берегове, 47620;072 211-17-97;perebyinispylyp@example.net
Товстоліс;Григорій;Богданович;male;1962-04-10;Фізик;село Зоринськ;провулок Морехідна, буд. 8, Джанкой, 76199;236 87 45;klyment35@example.net
Ткач;Миколай;Олександрович;male;1999-04-21;Палеонтолог;хутір Баранівка;набережна Флотський 1-й, буд. 818 кв. 3, Родинське, 84932;675 27 34;ihorlavrenko@example.net
Колодуб;Вадим;Максимович;male;1948-10-01;Державний службовець;село Южне;проспект Тепличний 2-й, буд. 872 кв. 618, Мирноград, 68214;602-06-66;taras00@example.net
Фурс;Лілія;Вікторівна;female;1988-08-27;Штукатур;хутір Волочиськ;шосе Караїмська, буд. 552, Тернопіль, 36308;530 57 78;alekseienkookhrim@example.net
Ярема;Мілена;Сергіївна;female;1950-02-17;Доцент;селище Остер;сквер Запорізька, буд. 1, Соснівка, 02672;037 295 83 49;amvrosii88@example.org
Михайличенко;Богданна;Іванівна;female;1968-11-26;Мінералог;хутір Добропілля;сквер Волинський, буд. 0, Вишневе, 98293;141-74-41;zharkomarusia@example.net
Аверченко;Прохір;Богданович;male;1985-06-08;Секретар;селище Снігурівка;вулиця Архітектурна, буд. 945 кв. 010, Снятин, 55371;+380 31 849 09 26;mykhailynaakymenko@example.org
Алексюк;Ганна;Іванівна;female;1968-07-16;Актор;селище Отаманівка;вулиця Восьмого березня 1-й, буд. 332 кв. 747, Сарни, 27312;+380 88 062-67-44;zakusylomarusia@example.org
Закусило;Костянтин;Олегович;male;1964-04-05;Сценарист;хутір Дніпрорудне;провулок Мелітопольська, буд. 86 кв. 0, Чернігів, 61346;+380 29 783 20 31;charnysholena@example.com
Александренко;Розалія;Петрівна;female;1944-12-21;Диригент;селище Лиман;площа Туристська, буд. 441, Добромиль, 09355;032 412 18 61;leopold85@example.com
Чуприна;Остап;Дмитрович;male;1971-03-09;Різноробочий;місто Корець;площа Савранська, буд. 62, Кам'янка-Бузька, 75370;+380 23 005-73-28;uhavrylets@example.net
Стець;Франц;Вікторович;male;1970-05-01;Гінеколог;селище Біла Церква;шосе Щоглова, буд. 9, Дрогобич, 02895;546 83 54;amvrosiiiefymenko@example.com
Архимович;Ігнат;Вікторович;male;1977-08-25;Лікар;селище Олевськ;сквер Олександра Тимошенка, буд. 5 кв. 037, Новогродівка, 54468;+380 44 058-61-04;qkashchenko@example.net
Конопля;Соломон;Олександрович;male;1970-01-24;Кур'єр;хутір Мукачево;набережна Астрономічна, буд. 7, Подільськ, 18178;305 79 88;holyknataliia@example.com
Абрамчук;Богодар;Іванович;male;1978-05-03;Композитор;місто Лохвиця;вулиця Офіцерський 1-й, буд. 819, Амвросіївка, 01525;+380 33 204-48-85;panteleimonartiushenko@example.org
Тимчук;Євген;Михайлович;male;1974-09-15;Мірошник;село Привілля;узвіз Сергія Шелухина, буд. 52 кв. 5, Вугледар, 95117;032 923-23-25;lgoliash@example.com
Ванченко;Сергій;Юрійович;male;1938-03-11;Режисер;село Ірміно;сквер Юннатів 2-й, буд. 583, Дружківка, 31879;+380 66 690-45-15;varfolomiifesenko@example.com
Воблий;Гаврило;Максимович;male;1951-07-26;Кінолог;село Ківерці;провулок Трибуни героїв, буд. 7 кв. 661, Чистякове, 97303;104-30-69;nataliiatryhub@example.net
Яценюк;Марʼяна;Максимівна;female;2000-03-06;Модель;село Конотоп;сквер Андрія Музичка, буд. 31 кв. 9, Козятин, 27695;+380 51 047-75-40;omeliantsiutsiura@example.net
Гаврилюк;Орест;Андрійович;male;1960-07-30;Юрист;село Березне;площа Спортивний, буд. 1 кв. 05, Докучаєвськ, 16880;186 51 92;iashchukleon@example.net
Андрійович;Арсен;Євгенович;male;1989-02-19;Соціолог;селище Буринь;набережна Степна, буд. 27 кв. 988, Жовті Води, 29027;+380 16 273 22 79;zparasiuk@example.net
Непорожній;Ігор;Вікторович;male;1988-12-26;Льотчик;село Буринь;набережна Шкільний аеродром, буд. 8, Донецьк, 14510;+380 28 824 43 32;orestkonoplia@example.org
Голобородько;Павло;Вікторович;male;1979-11-29;Машиніст;місто Хуст;провулок Лінія 24-та, буд. 671 кв. 862, Отаманівка, 16705;+380 96 217-81-39;nmoskal@example.org
Яценюк;Юхим;Іванович;male;1960-03-05;Юрист;село Армянськ;площа Проїзний 1-й, буд. 2, Бібрка, 41924;+380 14 934 90 15;boryslav53@example.org
Свириденко;Олесь;Юрійович;male;1977-06-25;Льотчик;хутір Ізмаїл;шосе Ніщинського Композитора, буд. 49, Немирів, 29070;+380 44 871 97 89;iashchukheorhii@example.net
Шаповал;Левко;Михайлович;male;1986-01-21;Кінокритик;селище Українськ;парк Михайла Божія, буд. 8, Балаклія, 97357;660 57 46;artem72@example.net
Лазаренко;Леопольд;Володимирович;male;1978-12-20;Історик;хутір Алушта;набережна Депутатський, буд. 2 кв. 73, Погребище, 65075;+380 (51) 334-98-63;kyrylo30@example.org
Затула;Гліб;Васильович;male;1942-11-27;Локсмайстер;селище Хмільник;вулиця Лиманчик 2-й Лінія 4-та, буд. 84, Харків, 62037;983-12-33;okhrystenko@example.org
Фурс;Назар;Богданович;male;2001-06-17;Астроном;місто Волочиськ;набережна Басейний 2-й, буд. 5 кв. 591, Херсон, 09002;+380 47 304-32-76;orkhyp02@example.net
Єресько;Охрім;Андрійович;male;1989-08-31;Графік;місто Радивилів;проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 02 кв. 5, Іллінці, 85083;+380 (03) 030-35-94;aakulenko@example.org
Іващенко;Сергій;Олександрович;male;1963-05-25;Каскадер;місто Чортків;парк Михайла Жука, буд. 389, Білозерське, 25071;818-45-77;leopoldtsymbal@example.com
Шевченко;Аврелій;Дмитрович;male;1946-01-05;Каскадер;місто Городенка;парк Орликова, буд. 11, Сімферополь, 85166;+380 67 535-33-32;alemeshko@example.org
Скорик;Лариса;Вікторівна;female;1978-02-12;Доцент;селище Немирів;узвіз Лазурний 2-й, буд. 392, Чуднів, 75947;+380 15 798-63-59;lpetrenko@example.net
Верхола;Зорян;Степанович;male;1984-04-15;Штукатур;місто Бучач;парк Дюківський сад, буд. 08 кв. 9, Дружківка, 61759;+380 44 481-54-64;trokhymzinchenko@example.org
Їжак;Григорій;Андрійович;male;1958-01-14;Кінорежисер;селище Білицьке;провулок Липнева, буд. 38 кв. 916, Біла Церква, 36500;051 380 69 87;vadymhohol@example.net
Фартушняк;Роман;Петрович;male;1964-12-01;Прокурор;селище Південне;шосе Саймона Літмана, буд. 11 кв. 776, Калуш, 93385;097 501 45 50;iakymenkostefan@example.com
Батіг;Пармен;Володимирович;male;1991-08-19;Кіноактор;хутір Надвірна;вулиця Середня, буд. 93, Козятин, 44995;059 13 55;qsirko@example.com
Бараник;Трохим;Васильович;male;1946-03-26;Кінорежисер;селище Турка;узвіз Шефська, буд. 1 кв. 0, Виноградів, 45633;374-98-99;gteslenko@example.net
Ковпак;Борис;Романович;male;1988-05-06;Парфюмер;хутір Заліщики;провулок Костанді 2-й, буд. 884, Монастириська, 54299;+380 87 552 96 59;karpenkopylyp@example.net
Жаліло;Феофан;Юрійович;male;1973-09-01;Нотаріус;місто Галич;провулок Молокова, буд. 81 кв. 28, Чортків, 29874;028 970 89 14;parmenrudko@example.org
Яковенко;Аліна;Іванівна;female;1993-08-27;Акушер;хутір Новояворівськ;набережна Житомирський 4-й, буд. 3 кв. 9, Верхньодніпровськ, 58313;+380 (22) 962-09-80;pylyp38@example.org
Акименко;Оксенія;Олегівна;female;1938-05-06;Круп'є;хутір Устилуг;набережна Василя Стуса, буд. 5, Іршава, 94048;+380 (76) 929-83-84;oryna15@example.com
Самойленко;Валерій;Сергійович;male;1961-04-14;Графік;хутір Сміла;набережна Привозна, буд. 271 кв. 6, Бережани, 20701;+380 74 615-02-66;albina75@example.org
Лазаренко;Демид;Максимович;male;1967-06-03;Секретар;місто Маріуполь;узвіз Станційна 1-ша, буд. 56 кв. 35, Кролевець, 67538;003 274 21 96;zakharvashchenko@example.org
Бандура;Орися;Степанівна;female;1970-11-18;Ювелір;хутір Хрестівка;набережна Лінія 38-ма, буд. 212, Шаргород, 18732;+380 61 296 23 20;sviatoslav46@example.com
Заруба;Єва;Михайлівна;female;1978-03-06;Фермер;хутір Благовіщенське;провулок Сумський, буд. 13, Шахтарське, 77545;858 45 11;nestor42@example.org
Перепелиця;Лілія;Андріївна;female;1977-04-19;Конструктор;хутір Чорнобиль;набережна Іспанський, буд. 5 кв. 569, Нікополь, 09339;+380 07 210 17 60;averchenkoboryslav@example.net
Сагаль;Володимир;Степанович;male;1951-03-27;Антрополог;селище Алмазна;вулиця Хортицька, буд. 3 кв. 019, Глухів, 76179;+380 (51) 250-70-46;hennadiiivanychuk@example.org
Оліфіренко;Єлисавета;Богданівна;female;1939-02-27;Інженер;село Балта;сквер Трудовий, буд. 841 кв. 22, Новомиргород, 58738;+380 22 765 56 89;ielyseiaverchenko@example.net
Ґжицька;Мілена;Романівна;female;1974-09-12;Дипломат;місто Помічна;проспект Роздольна, буд. 97 кв. 244, Привілля, 44625;+380 38 651 73 15;okseniia31@example.com
Данилюк;Лариса;Вікторівна;female;1976-08-03;Лікар;село Горохів;шосе Французький, буд. 6 кв. 902, Угнів, 82533;+380 (40) 900-84-30;ytalan@example.net
Литвин;Соломон;Юрійович;male;1968-02-13;Астронавт;селище Верхівцеве;парк Бучми, буд. 539 кв. 9, Міусинськ, 86702;220 40 47;yvasylevych@example.net
Іщенко;Сніжана;Миколаївна;female;1983-09-04;Будник;селище Лиман;проспект Толвінського, буд. 43, Гнівань, 18782;+380 47 273 45 87;iustyna76@example.com
Дейнека;Станіслав;Олександрович;male;1977-07-04;Епідеміолог;хутір Кодима;набережна Профспілкова, буд. 44 кв. 42, Миргород, 40656;090 836 84 00;iakiv22@example.net
Єрмоленко;Симон;Дмитрович;male;1960-12-29;Детектив;місто Судова Вишня;сквер Хаджибейський, буд. 9 кв. 06, П'ятихатки, 93816;324 22 81;klavdiiaarsenych@example.com
Нестайко;Мирослав;Богданович;male;1985-03-30;Фольклорист;місто Козятин;вулиця 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 24, Мостиська, 21273;+380 71 659-80-46;aaron48@example.org
Данилюк;Лілія;Сергіївна;female;1996-03-15;Антрополог;місто Святогірськ;узвіз Моторний 3-й, буд. 84, Хоростків, 42530;+380 15 761-00-70;oliinykorkhyp@example.net
Доценко;Олександр;Юрійович;male;1990-08-01;Флорист;хутір Костопіль;набережна Джинестрівська, буд. 83 кв. 72, Корсунь-Шевченківський, 13736;+380 (58) 426-62-68;pavloorobets@example.net
Чаленко;Валентина;Анатоліївна;female;1944-03-01;Астрофізик;місто Рудки;парк Десантний, буд. 43 кв. 565, Славута, 49979;050 237 58 32;herman39@example.com
Рябовіл;Станіслав;Васильович;male;1966-03-20;Краєзнавець;хутір Торецьк;сквер Каретний, буд. 44 кв. 67, Лутугине, 73943;+380 21 986-78-32;irynaaleksiuk@example.org
Шахрай;Адам;Олександрович;male;1952-10-20;Швачка;хутір Жданівка;узвіз Глаубермана, буд. 68, Щолкіне, 02641;309 33 57;olha01@example.net
Романець;Єфрем;Максимович;male;1946-09-20;Реставратор;хутір Костянтинівка;набережна Флотський 4-й, буд. 37 кв. 273, Сіверськ, 83817;926 84 44;orest65@example.com
Батуринець;Ірина;Вікторівна;female;1969-07-22;Диригент;хутір Ізюм;набережна Олексія Косяченко, буд. 826 кв. 6, Овруч, 21759;070 157 30 39;haidenkomarusia@example.com
Носаченко;Богодар;Анатолійович;male;1982-06-12;Диригент;місто Джанкой;узвіз Ванний, буд. 151 кв. 898, Керч, 93656;+380 32 693-96-14;pzhurba@example.net
Рябець;Орина;Дмитрівна;female;1949-06-19;Мистецтвознавець;хутір Бучач;шосе Героїв Крут, буд. 00 кв. 247, Очаків, 63495;799 37 48;andriienkoomelian@example.com
Дейнеко;Юстим;Анатолійович;male;1944-08-08;Електрик;село Отаманівка;провулок Романтиків, буд. 742, Глухів, 18223;+380 88 904 38 77;qmakarenko@example.net
Ковалюк;Тереза;Олександрівна;female;1945-04-25;Льотчик;хутір Овруч;проспект 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 41, Перещепине, 98345;058 152 52 26;tchalenko@example.com
Бандура;Азар;Анатолійович;male;1967-04-16;Пекар;хутір Тернівка;парк Деволанівська, буд. 34 кв. 7, Вознесенськ, 89074;048 556-50-28;pzhalilo@example.com
Байдак;Дмитро;Іванович;male;1960-05-08;Палеонтолог;місто Кременчук;набережна Фруктовий, буд. 4 кв. 2, Полтава, 12153;675 50 10;parmenbaklan@example.org
Ющенко;Богданна;Петрівна;female;1990-12-26;Патологоанатом;хутір Очаків;площа Ганни Ахматової, буд. 50, Сарни, 45042;189-41-66;fsheremeta@example.org
Гайденко;Данило;Анатолійович;male;2008-01-17;Реставратор;селище Шахтарське;вулиця Хутірська, буд. 919 кв. 9, Хмельницький, 96513;+380 61 591 76 80;oksanaverkhovynets@example.net
Дробаха;Світлана;Максимівна;female;1954-06-19;Модельєр;місто Сторожинець;парк Проектний 5-й, буд. 253, Сватове, 76974;769-72-35;vitaliisatsiuk@example.com
Симоненко;Марина;Вікторівна;female;1939-01-29;Державний службовець;хутір Шепетівка;площа Виноградна 2-га, буд. 82, Боково-Хрустальне, 18188;297 40 67;sviatoslavahaidamaka@example.net
Корпанюк;Ростислав;Романович;male;1972-12-06;М'ясник;селище Боково-Хрустальне;парк Щіпний, буд. 810 кв. 779, Умань, 35017;+380 13 897 11 30;feofantaran@example.org
Гузенко;Володимира;Анатоліївна;female;2005-11-10;Реставратор;село Бориспіль;парк Азовський, буд. 334 кв. 2, Світловодськ, 82599;+380 34 727 08 55;ievdokymenkoanita@example.org
Уманець;Аврелій;Сергійович;male;2008-09-21;Режисер;селище Берестин;набережна Тракторна, буд. 30 кв. 01, Очаків, 53452;+380 71 456-89-77;hordii02@example.com
Тесля;Володимир;Олегович;male;1952-02-18;Агроном;селище Маріуполь;сквер Станційна 1-ша, буд. 02, Чоп, 21900;090 855 87 05;marynahavrylenko@example.org
Андрусенко;Петро;Миколайович;male;1997-10-05;Електрик;село Чистякове;шосе Лиманчик 2-й Лінія 8-ма, буд. 94, Біла Церква, 05109;017 503-99-62;nestoriefymenko@example.net
Гуцуляк;Михайлина;Миколаївна;female;1956-06-01;Піаніст;селище Гнівань;шосе Розумовський 1-й, буд. 278, Шаргород, 58753;+380 12 333-10-32;chumachenkoleonid@example.net
Шахрай;Станіслав;Михайлович;male;1996-06-26;Економіст;село Зміїв;шосе Альпіністів, буд. 553, Старокостянтинів, 62649;360-50-17;bohodar81@example.com
Пушкар;Тарас;Вікторович;male;1964-11-05;Фармацевт;селище Костянтинівка;парк Килимова, буд. 810 кв. 10, Ялта, 45851;+380 (68) 579-90-29;shyianbohdan@example.net
Чала;Данна;Олегівна;female;1963-09-23;Літературознавець;село Вилкове;площа Новощіпний ряд, буд. 350, Білгород-Дністровський, 76100;+380 (83) 849-94-59;bohdanievdokymenko@example.org
Міщенко;Ростислав;Васильович;male;1939-09-27;Модельєр;село Суми;шосе Академіка Богатського, буд. 89 кв. 083, Бердянськ, 57088;+380 (91) 618-82-68;xzabara@example.com
Лисенко;Оксана;Вікторівна;female;1989-09-13;Кінорежисер;місто Ясинувата;вулиця Планетна, буд. 81, Нетішин, 17566;+380 07 489-02-36;oberemkonataliia@example.org
Журба;Маруся;Романівна;female;1969-01-07;Астрофізик;село Чугуїв;шосе Трамвайний, буд. 159, Снятин, 94268;+380 28 342-54-02;fbezborodko@example.net
Тригуб;Стефан;Володимирович;male;1940-08-03;Співак;хутір Нова Одеса;набережна Радісний, буд. 3 кв. 298, Корець, 53867;+380 86 378-38-17;kostiantyn86@example.net
Лагода;Едуард;Петрович;male;1965-11-10;Дипломат;хутір Красилів;проспект Медовий, буд. 3, Олевськ, 49032;+380 (65) 082-28-94;abramchukdaryna@example.org
Асаула;Валентин;Сергійович;male;1992-11-24;Клавішник;селище Чоп;набережна Жоліо-Кюрі, буд. 976, Прип'ять, 03401;+380 58 243 90 34;smykvalentyna@example.org
Колодуб;Ліза;Іванівна;female;1992-04-21;Конструктор;село Дебальцеве;набережна Хаджибейська дорога, буд. 7, Гайсин, 45462;077 155 85 90;teodorhuzenko@example.org
Василашко;Маруся;Богданівна;female;1990-09-25;Фармацевт;селище Могилів-Подільський;вулиця Педагогічний, буд. 8 кв. 203, Дубляни, 27534;095 937-06-85;hlib79@example.org
Годунок;Борис;Богданович;male;1946-10-11;Дипломат;місто Прилуки;парк Маковий, буд. 078 кв. 25, Боярка, 36759;+380 29 638-63-43;glutsenko@example.com
